feature,importance
NR-AR-LBD,0.627036499228681
NR-ER,0.06239148730364175
SR-p53,0.05933314068796
SR-ATAD5,0.048017282535336644
NR-ER-LBD,0.04398942377802249
NR-PPAR-gamma,0.03150346140437531
SR-HSE,0.029051376813034574
SR-MMP,0.028763201474870898
SR-ARE,0.02571337507809246
NR-Aromatase,0.022488749489713248
